"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8143","Login TC001","chromium","2026-04-26","passed","2026-04-26","","LoginTC001.spec.ts","",""
"","11567","Add Emp TC002","chromium","2026-05-01","passed","2026-05-01","","Add_Emp_TC002.spec.ts","",""
